countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,weekOfYear
United Kingdom,Christmas Day (Observed),Christmas Day,TRUE,GB,2016/12/27,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2017/01/01,1
United Kingdom,"New Year Holiday [Scotland], New Year's Day (Observed)","New Year Holiday , New Year's Day",TRUE,GB,2017/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2017/01/03,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2017/03/17,11
United Kingdom,Good Friday,Good Friday,TRUE,GB,2017/04/14,15
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2017/04/17,16
United Kingdom,May Day,May Day,TRUE,GB,2017/05/01,18
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2017/05/29,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2017/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2017/08/07,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2017/08/28,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2017/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2017/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2017/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2018/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2018/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2018/03/17,11
United Kingdom,St. Patrick's Day [Northern Ireland] (Observed),St. Patrick's Day,FALSE,GB,2018/03/19,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2018/03/30,13
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2018/04/02,14
United Kingdom,May Day,May Day,TRUE,GB,2018/05/07,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2018/05/28,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2018/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2018/08/06,32
